Date (YYYY-MM-DD),New_cases_WB,New_Tests_WB,Total_cumulative_cases_Kolkata,Total COVID-19 Cases Confirmed (WB),Total deaths due to COVID-19(WB),Total deaths due to comorbidity(WB),AQI,PM2.5(Average),PM10(Average),NO2(Average),NH3(Average),SO2(Average),CO(Average),OZONE(Average),STATION FROM WHICH DATA WAS TAKEN,Prominent Pollutant,Remark,Possible Health Impacts,Avg_temp,Precipitation,Avg_wind_speed,Avg_humidity
21-04-20,,,,,,,48,16,30,5,1,2,12,48,Ballygunge,OZONE,Good,Minimal impact,24,7.1,13,81.25
22-04-20,,,,,,,38,22,31,8,1,5,14,38,Ballygunge,OZONE,Good,Minimal impact,27.5,0,9.25,83.75
23-04-20,,,,,,,27,17,27,5,1,5,11,19,Ballygunge,PM10,Good,Minimal impact,28,11.9,9.25,86.25
24-04-20,,,,,,,31,13,27,4,1,4,12,31,Ballygunge,OZONE,Good,Minimal impact,27.5,0,13.5,84
25-04-20,,,,,,,38,12,29,5,1,7,10,38,Ballygunge,OZONE,Good,Minimal impact,29,0,8,80.25
26-04-20,,,,,,,46,31,25,8,2,8,10,46,Rabindra Sarobar(AS NO DATA WAS AVAILABLE FOR BALLYGUNGE),OZONE,Good,Minimal impact,29,4.1,8.75,87.25
27-04-20,,,,,,,33,24,21,8,2,7,8,33,Rabindra Sarobar(AS NO DATA WAS AVAILABLE FOR BALLYGUNGE),OZONE,Good,Minimal impact,26.5,5.1,6.5,91.25
28-04-20,,,,,,,44,5,44,4,1,4,10,30,Ballygunge,PM10,Good,Minimal impact,26.5,5.1,6,94.25
29-04-20,,,,,,,32,18,32,9,1,4,16,27,Ballygunge,PM10,Good,Minimal impact,28,0,6,85.75
30-04-20,,,,,,,35,22,35,6,1,6,11,32,Ballygunge,PM10,Good,Minimal impact,29.5,0,7,80
01-05-20,,,,,,,46,18,31,4,1,6,9,46,Ballygunge,OZONE,Good,Minimal impact,28,8.9,11,89.25
02-05-20,,,,,,,30,18,29,7,1,4,15,30,Ballygunge,OZONE,Good,Minimal impact,27.5,0.3,6.75,85.75
03-05-20,,,,,,,46,24,37,6,1,5,11,46,Ballygunge,OZONE,Good,Minimal impact,28,0,3.5,83.5
04-05-20,61,2201,659,1259,61,,54,35,54,7,1,4,14,32,Ballygunge,PM10,Satisfactory,Minor breathing discomfort to sensitive people,31,0,5.5,84.25
05-05-20,85,2455,700,1344,68,72,43,27,43,5,1,3,10,37,Ballygunge,PM10,Good,Minimal impact,30.5,0,11,81.75
06-05-20,112,2570,754,1456,72,72,40,21,32,5,1,3,12,40,Ballygunge,OZONE,Good,Minimal impact,26.5,39.9,7,85.75
07-05-20,92,2611,783,1548,79,72,38,31,37,8,1,3,10,38,Ballygunge,OZONE,Good,Minimal impact,29,0,7.75,83.75
08-05-20,130,3015,846,1678,88,72,45,25,33,4,1,3,11,45,Ballygunge,OZONE,Good,Minimal impact,29,0,11.25,79
09-05-20,108,3601,911,1786,99,72,55,39,55,5,1,2,14,35,Ballygunge,PM10,Satisfactory,Minor breathing discomfort to sensitive people,32.5,0,8.25,76.25
10-05-20,153,4046,948,1939,113,72,61,48,61,5,1,3,9,39,Ballygunge,PM10,Satisfactory,Minor breathing discomfort to sensitive people,30.5,6.1,10.75,82.5
11-05-20,124,4201,1002,2063,118,72,52,38,50,5,1,5,12,52,Ballygunge,OZONE,Satisfactory,Minor breathing discomfort to sensitive people,29,0,5.25,78.75
12-05-20,110,5007,1041,2173,126,72,68,53,68,9,1,7,15,54,Ballygunge,PM10,Satisfactory,Minor breathing discomfort to sensitive people,31.5,0,5.75,73.25
13-05-20,117,5010,1126,2290,135,72,72,52,72,7,1,8,10,33,Ballygunge,PM10,Satisfactory,Minor breathing discomfort to sensitive people,33,0,15.75,67.25
14-05-20,87,5205,1157,2377,151,72,57,39,57,4,1,8,9,26,Ballygunge,PM10,Satisfactory,Minor breathing discomfort to sensitive people,32.5,0,16.25,79.75
15-05-20,84,6706,1200,2461,163,72,42,26,42,4,1,3,10,22,Ballygunge,PM10,Good,Minimal impact,33,0,18,78.25
16-05-20,115,7745,1265,2576,167,72,40,22,40,3,1,3,10,24,Ballygunge,PM10,Good,Minimal impact,33,0,19.25,79.5
17-05-20,101,8668,1311,2667,172,72,37,23,37,5,1,4,12,21,Ballygunge,PM10,Good,Minimal impact,34,0,17.25,77.5
18-05-20,148,7614,1372,2825,178,72,49,23,49,5,1,4,15,15,Ballygunge,PM10,Good,Minimal impact,33,0,14.5,74
19-05-20,136,8712,1433,2961,184,72,54,46,54,5,1,2,10,13,Ballygunge,PM10,Satisfactory,Minor breathing discomfort to sensitive people,29.5,4.1,13.25,89.25
20-05-20,142,8720,1502,3103,184,72,30,25,30,6,1,3,13,27,Ballygunge,PM10,Good,Minimal impact,25.5,211.1,57.5,95.66666667
